Title	Url	Category
Người phụ nữ giấu mặt BẤT NGỜ xuất hiện nói về hoàn cảnh của 5 mẹ con KHỜ. Tập 488	https://www.youtube.com/watch?v=USjo7Tc8ueY	Cuộc sống khó khăn
Sống trong căn chòi quá “THẢM THƯƠNG” mọi thứ đều đi xin để tồn tại. Tập 354	https://www.youtube.com/watch?v=ysf1neVOTG0	Người lớn tuổi
CHUYẾN HÀNH TRÌNH NGHẸT THỞ. Vận chuyển vật tư vào RỪNG SÂU để dựng lên CĂN NHÀ TÌNH THƯƠNG. Tập 110	https://www.youtube.com/watch?v=af0Mu9du4HE	Nhà mới
“SỐNG TRONG CĂN CHÒI SỤP ĐỔ” 3 mẹ con phải chịu cảnh đói quanh năm. Tập 431	https://www.youtube.com/watch?v=E3BY-1qaisE	Gia đình có con nhỏ
"Không ai khổ bằng,cuộc sống nghèo đói của cụ bà sống cô đơn lẻ bóng trong rừng không có gì ăn.#151"	https://www.youtube.com/watch?v=Yl_zJpS67o8	Người lớn tuổi
Sống trong NGÔI NHÀ bằng đất..MƯA BÃO không biết sụp đổ lúc nào không hay. Tập 35	https://www.youtube.com/watch?v=T0Ni-rZL2AM	Cuộc sống khó khăn
1 ngày 1 đêm trải nghiệm ngủ trong rừng nơi những người nghèo được sinh ra sẽ như thế nào. Tập 215	https://www.youtube.com/watch?v=tJztxYQ1bsU	Hoạt động cộng đồng
Sống trong CĂN CHÒI RÁCH NÁT trong rừng sâu người phụ nữ mỗi ngày phảI “ĂN THƠM THAY CƠM” Tập 231	https://www.youtube.com/watch?v=rpqkYHSXyI4	Cuộc sống khó khăn
XÓT XA trước hình ảnh của chàng thanh niên trẻ mắc phải CĂN BỆNH NẶNG chỉ còn DA BỌC XƯƠNG. Tập 217	https://www.youtube.com/watch?v=Vlv36mDWmz4	Vấn đề sức khỏe
"Món ăn nghèo khổ nhất trên vùng núi, cụ bà quanh năm chỉ ăn cây và lá rừng để tồn tại. Tập 415"	https://www.youtube.com/watch?v=noK5ComjzzY	Người lớn tuổi
ÔNG BẢY SỐNG TRONG NHÀ HOANG..Vui mừng khi con cháu đến thăm ông vào dịp TẾT. Tập 86	https://www.youtube.com/watch?v=YmjffGrjVW8	Sống một mình
BẤT NGỜ..Người đàn ông rụt rè SỢ HÃI khi nhìn thấy NGƯỜI LẠ TIẾP CẬN vào CĂN CHÒI RÁCH NÁT. Tập 119	https://www.youtube.com/watch?v=rs5eJptTO1Y	Sống một mình
TRẢI NGHIỆM lên suối nguồn ăn gà luộc và tắm suối cực vui sau những ngày vất vả. Tập 237	https://www.youtube.com/watch?v=QpBbk8bBRnY	Hoạt động cộng đồng
CỤ BÀ sống CÔ ĐƠN trên núi..không ai nuôi dưỡng phải cặm cuội CHĂN BÒ hái đậu để có gạo ăn. Tập 51	https://www.youtube.com/watch?v=q72uByOWGJM	Sống một mình
"Người phụ nữ BỆNH LAO cả đời nhặt VE CHAI, cầu xin được SỐNG SÓT. Tập 485"	https://www.youtube.com/watch?v=e67ELAwkOmc	Vấn đề sức khỏe
CUỘC SỐNG KHỐN KHỔ..TRONG RỪNG SÂU KHÔNG CÓ ÁNH SÁNG VÀ LƯƠNG THỰC ĐỂ ĂN. Tập 93	https://www.youtube.com/watch?v=xQuz1fhPboY	Người lớn tuổi
SỐNG ẨN CƯ TRONG CĂN CHÒI RÁCH NÁT..Không có TIỀN mua bánh phải bắt CHUỘT RỪNG cho con ăn.. Tập 87	https://www.youtube.com/watch?v=HEQdPS7ZotU	Gia đình có con nhỏ
PHÁT HIỆN người đàn ông ở trong căn chòi diện tích nhỏ bỏ quê hương đến nơi nghèo khổ lấy vợ.Tập 193	https://www.youtube.com/watch?v=3bwlSSemCko	Cuộc sống khó khăn
NGƯỜI ĐÀN ÔNG cặm cuội gọt những mảng tre SẮT BÉN để làm gùi bán..kiếm tiền mua gạo ăn. Tập 49	https://www.youtube.com/watch?v=i95hBjPz6m8	Cuộc sống khó khăn
Cô gái trẻ tuổi phải ở trong CĂN CHÒI DỘT NÁT cùng con thơ và ăn rau rừng để tồn tại. Tập 363	https://www.youtube.com/watch?v=64ZZz0EX5l0	Gia đình có con nhỏ
"CỤ BÀ SỐNG CÔ ĐỘC TRONG CĂN CHÒI 1 VÁCH..Gạo không có ăn, mưa không chổ ngủ. Tập 104"	https://www.youtube.com/watch?v=PoI8bI41kjA	Người lớn tuổi
"Dẫn con thơ vào rừng sâu TRÚ ẨN, ở trong căn chòi TẢ TƠI, bữa đói bữa no. Tập 405"	https://www.youtube.com/watch?v=c2HZR4-ZoGQ	Cuộc sống khó khăn
TÁ HOẢ..Người đàn ông di cư và tìm đến men say vì lý do ĐAU LÒNG này. Tập 125	https://www.youtube.com/watch?v=2w-sRhuCy7U	Sống một mình
ĐÁNG THƯƠNG..Cụ bà sống trong CĂN CHÒI DỘT NÁT phải ăn bắp thay CƠM sống qua ngày. Tập 121	https://www.youtube.com/watch?v=mpCfUAVKDSY	Người lớn tuổi
Từ ngày vợ bị S.át hại đến nay 2 cha con của anh cường đã thực hiện được ƯỚC MƠ trong đời. tập 204	https://www.youtube.com/watch?v=ONYZadgUXH4	Nhà mới
Cô gái trẻ VỠ OÀ CẢM XÚC khi nhận được gà để nuôi phát triển KINH TẾ trong rừng sâu. Tập 490	https://www.youtube.com/watch?v=M_IYn0KrNf4	Tất Cả Về Gà
“NGƯỜI PHỤ NỮ VỠ OÀ CẢM XÚC” bỗng dưng ƯỚC MƠ trở thành sự thật. Tập 456	https://www.youtube.com/watch?v=r8a9hXjgLHg	Nhà mới
"HÀNH TRÌNH thực hiện ƯỚC MƠ cho cô gái trẻ, và những nguy hiểm luôn rình rập trong rừng. Tập 492"	https://www.youtube.com/watch?v=VgYHl8BTI7Q	Nhà mới
