Title	Description	Amount	Image-Url
Nơi trú ẩn mới	"Nhiều người đang sống trong những căn lều mục nát, một số thậm chí không có đủ vật liệu để làm tường. Phải hứng chịu mưa gió khắc nghiệt, họ rất cần một nơi ở an toàn.
Items:
Nhà tiền chế 3x4
1 Bồn chứa nước 500 lít
Thực phẩm thiết yếu
1 Ánh sáng mặt trời
1 Quạt năng lượng mặt trời
Những điều cần thiết cho giấc ngủ
Chi phí vận chuyển vật liệu và nhân công

"	46.600.000 - 52.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Thực Phẩm Thiết Yếu	"Gói ""Thực phẩm thiết yếu"" là một cách đơn giản nhưng hiệu quả để chống lại nạn đói trong cộng đồng của chúng ta.
2 chai Dầu ăn
2 chai Nước tương
2 chai Nước mắm
2 bịch Muối lớn
1kg Đường ngọt
1 bịch Bột ngọt
1 thùng Mì tôm 30 gói
1 bao Gạo 10kg
2 kg Cá khô
2 lốc cá hộp"	1.100.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Hệ Thống Cấp Nước	"Hãy tưởng tượng gia đình bạn phải dựa vào nước mưa bẩn thu thập từ các vũng nước, biết rằng ngay cả sau khi đun sôi, nó vẫn có nguy cơ gây bệnh. Đây là thực tế hàng ngày đối với vô số dân làng nơi nước sạch khan hiếm. “Hệ thống cung cấp nước” mang nước sạch trực tiếp từ các nguồn trên núi đến 30-40 gia đình (khoảng 200 người).
Items:
Ống mềm dẻo, bền bỉ
Bình đựng nước cho dân làng
Chi phí vận chuyển vật liệu và nhân công"	50.000.000 - 70.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-supply-system.png
Đèn Năng Lượng Mặt Trời	"Không có ánh sáng để nhìn, không có cách nào để trẻ em học tập – chỉ có bóng tối hoàn toàn ngoại trừ đèn pin mượn thỉnh thoảng trong trường hợp khẩn cấp. Gói ""Ánh sáng mặt trời"" mang đến nguồn hy vọng, cung cấp ánh sáng thiết yếu và sự an toàn cho cuộc sống của họ.
Items:
1 Ánh sáng mặt trời"	1.200.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-light.png
Hỗ Trợ Không Giới Hạn (Tiền mặt)	"Khoản tiền quyên góp của bạn sẽ giải quyết trực tiếp các nhu cầu cấp thiết như thuốc men, thực phẩm và học phí của trẻ em, mang lại sự cứu trợ ngay lập tức. Mỗi đóng góp, dù lớn hay nhỏ, đều tạo nên sự khác biệt quan trọng."	Bất kì	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cash.png
Nhu Yếu Phẩm Cho Giấc Ngủ	"Hãy tưởng tượng bạn đang cố gắng ngủ trên một chiếc giường làm từ thân cây thô, với không khí lạnh ban đêm len lỏi qua các khe hở trong nơi trú ẩn của bạn. Đối với nhiều gia đình, đây là thực tế khắc nghiệt của họ. Họ thậm chí còn thiếu những tiện nghi cơ bản như chăn ấm hoặc nệm mềm.
Items:
Gối
áo gối
Mền
Mùng
Nệm
Chiếu loại tốt"	1.350.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/beddings.png
Xe Đạp	"Ở những ngôi làng hẻo lánh, cuộc sống hàng ngày là một hành trình được đo bằng hàng dặm đi bộ. Hãy hình dung trẻ em phải đi bộ quãng đường dài đến trường, hoặc người lớn chật vật để đến nơi kiếm sống. Một chiếc xe đạp không chỉ là phương tiện di chuyển; đó là ước mơ sâu sắc về sự tự do, khả năng tiếp cận và cơ hội. Nó mang đến cơ hội để rút ngắn những khoảng cách lớn, mở cánh cửa giáo dục, đến được nơi làm việc và kết nối với thế giới rộng lớn hơn, biến khó khăn thành con đường dẫn đến một tương lai tươi sáng hơn."	2.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/bicycle.png
Thùng đựng nước	"Hãy hình dung hành trình hàng ngày, thường là nhiều dặm, chỉ để lấy nước. Đối với vô số người dân làng, đây là một thực tế khắc nghiệt, càng trở nên khó khăn hơn do thiếu các dụng cụ đựng nước phù hợp. Họ buộc phải dựa vào những chai nước uống nhỏ, thường bẩn thỉu, đã qua sử dụng—những vật chứa mong manh khiến những chuyến đi dài, quý giá trở nên không thực tế và không đủ cho nhu cầu hàng ngày của gia đình như nấu ăn, uống và giặt giũ. Ước muốn thầm lặng của họ là có được những dụng cụ đựng nước an toàn, đầy đủ có thể giảm bớt gánh nặng to lớn này, biến những hành trình gian khổ thành những công việc có thể quản lý được, và mang lại phẩm giá đơn giản của nguồn nước sạch, đủ dùng vào ngôi nhà của họ."	35.000 - 40.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-container.png
Bạt Che	"Hãy tưởng tượng một gia đình trú ẩn dưới những cành cây và mảnh vụn yếu ớt, dễ bị ảnh hưởng bởi nắng, mưa và gió khắc nghiệt. Đối với họ, ngay cả nơi trú ẩn cơ bản cũng là một thách thức liên tục; thu nhập hạn hẹp của họ hầu như không đủ trang trải thức ăn, chứ đừng nói đến một mái nhà ổn định.
Items:
1 Bạt"	500.000-1.500.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/tarp.png
Quạt Năng Lượng Mặt Trời	"Sự quyên góp của bạn sẽ cung cấp một chiếc quạt chạy bằng năng lượng mặt trời, giúp xua tan cái nóng thiêu đốt và xua đuổi muỗi gây phiền nhiễu.
Items:
1 Quạt năng lượng mặt trời
"	2.200.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-fan.png
